82,Movie,Kate,September 10 2021,2021,TV-14,106 min,Slipped a fatal poison on her final job a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.
83,TV Show,Lucifer,September 10 2021,2021,TV-MA,6 Seasons,Bored with being the Lord of Hell the devil relocates to Los Angeles where he opens a nightclub and forms a connection with a homicide detective.
84,TV Show,Metal Shop Masters,September 10 2021,2021,TV-MA,1 Season,On this competition show a group of metal artists torch cut and weld epic badass creations from hardened steel. Only one will win a $50000 prize.
85,Movie,Omo Ghetto the Saga,September 10 2021,2020,TV-Y7,147 min,Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family crime cops and all of the trouble that follows them.
86,TV Show,Pokémon Master Journeys The Series,September 10 2021,2021,TV-MA,1 Season,As Ash battles his way through the World Coronation Series Goh continues his quest to catch every Pokémon. Together theyre on a journey to adventure!
87,Movie,Prey,September 10 2021,2021,TV-Y,87 min,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
88,TV Show,Titipo Titipo,September 10 2021,2019,PG-13,2 Seasons,Titipo the train is out to prove that hes got what it takes to help the folks of Train Village ride the rails safely and reliably.
89,Movie,Blood Brothers Malcolm X & Muhammad Ali,September 9 2021,2021,TV-Y7,96 min,From a chance meeting to a tragic fallout Malcolm X and Muhammad Alis extraordinary bond cracks under the weight of distrust and shifting ideals.
90,TV Show,Mighty Raju,September 9 2021,2017,TV-MA,4 Seasons,Born with superhuman abilities young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!
91,Movie,Paradise Hills,September 9 2021,2019,TV-14,95 min,Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough but its real purpose is even worse.
92,Movie,The Women and the Murderer,September 9 2021,2021,TV-MA,92 min,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women a police chief and a victims mother.
93,TV Show,Into the Night,September 8 2021,2021,TV-MA,2 Seasons,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
94,Movie,JJ+E,September 8 2021,2021,PG,91 min,Elisabeth and John-John live in the same city but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?
95,Movie,Show Dogs,September 8 2021,2018,TV-MA,90 min,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
96,TV Show,The Circle,September 8 2021,2021,TV-MA,3 Seasons,Status and strategy collide in this social experiment and competition show where online players flirt befriend and catfish their way toward $100000.
97,Movie,If I Leave Here Tomorrow A Film About Lynyrd Skynyrd,September 7 2021,2018,TV-Y7,97 min,Using interviews and archival footage this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.
98,TV Show,Kid Cosmic,September 7 2021,2021,TV-Y,2 Seasons,A boys superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he cant do it alone.
99,TV Show,Octonauts Above & Beyond,September 7 2021,2021,TV-MA,1 Season,The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends theyll protect any habitats and animals at risk.
100,TV Show,On the Verge,September 7 2021,2021,TV-Y7,1 Season,Four women — a chef a single mom an heiress and a job seeker — dig into love and work with a generous side of midlife crises in pre-pandemic LA.
101,TV Show,Tobot Galaxy Detectives,September 7 2021,2019,TV-MA,2 Seasons,An intergalactic device transforms toy cars into robots the Tobots! Working with friends to solve mysteries they protect the world from evil.
102,Movie,Untold Breaking Point,September 7 2021,2021,TV-14,80 min,Under pressure to continue a winning tradition in American tennis Mardy Fish faced mental health challenges that changed his life on and off the court.
103,TV Show,Countdown Inspiration4 Mission to Space,September 6 2021,2021,TV-MA,1 Season,From training to launch to landing this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.
104,Movie,Shadow Parties,September 6 2021,2020,TV-Y,117 min,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
105,TV Show,Tayo the Little Bus,September 6 2021,2016,TV-14,2 Seasons,As they learn their routes around the busy city Tayo and his little bus friends discover new sights and go on exciting adventures every day.
106,Movie,Angamaly Diaries,September 5 2021,2017,TV-G,128 min,After growing up amidst the gang wars of his hometown Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.
107,TV Show,Bunkd,September 5 2021,2021,G,5 Seasons,The Ross siblings of Disneys hit series Jessie spend a summer full of fun and adventure at Maines Camp Kikiwaka where their parents first met.
108,Movie,A Champion Heart,September 4 2021,2018,TV-G,90 min,When a grieving teen must work off her debt to a ranch she cares for a wounded horse that teaches her more about healing than she expected.
109,TV Show,Dive Club,September 3 2021,2021,TV-MA,1 Season,On the shores of Cape Mercy a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.
110,TV Show,La casa de papel,September 3 2021,2021,TV-MA,5 Seasons,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
111,TV Show,Money Heist From Tokyo to Berlin,September 3 2021,2021,TV-Y,1 Season,The filmmakers and actors behind Money Heist characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.
112,TV Show,Sharkdog,September 3 2021,2021,PG-13,1 Season,Half shark half dog with a big heart and a belly full of fish sticks! Together Sharkdog and his human pal Max can take on any silly or messy adventure.
113,Movie,Worth,September 3 2021,2021,TV-PG,119 min,In the wake of the Sept. 11 attacks a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.
114,Movie,Afterlife of the Party,September 2 2021,2021,TV-14,110 min,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
115,Movie,Anjaam,September 2 2021,1994,PG,143 min,A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world until she takes matters into her own hands to exact revenge.
116,Movie,Bright Star,September 2 2021,2009,TV-PG,119 min,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
117,Movie,Dhanak,September 2 2021,2015,PG-13,114 min,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
118,Movie,Final Account,September 2 2021,2021,TV-14,94 min,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitlers Third Reich.
119,Movie,Gurgaon,September 2 2021,2017,TV-MA,106 min,When the daughter of a wealthy family returns from college she gets a frosty welcome from her brother who has problems – and plans – of his own.
120,Movie,Here and There,September 2 2021,2020,TV-Y7,99 min,After meeting through a heated exchange on social media two people with different backgrounds begin an online romance in the midst of a pandemic.
121,TV Show,Heroes of Goo Jit Zu,September 2 2021,2021,TV-14,1 Season,After a meteor crash a group of zoo animals transforms into squishy gooey and stretchy superheroes with special powers and soon takes on evildoers.
122,TV Show,Hotel Del Luna,September 2 2021,2019,R,1 Season,When hes invited to manage a hotel for dead souls an elite hotelier gets to know the establishments ancient owner and her strange world.
123,Movie,In the Cut,September 2 2021,2003,TV-Y7,118 min,After embarking on an affair with the cop probing the murder of a young woman an insular schoolteacher suspects her lover was involved in the crime.
124,TV Show,Luv Kushh,September 2 2021,2012,TV-Y7,1 Season,Based on the last book of the epic Ramayana this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.
125,TV Show,Pororo - The Little Penguin,September 2 2021,2013,TV-MA,3 Seasons,On a tiny island Pororo the penguin has fun adventures with his friends Eddy the fox Loopy the beaver Poby the polar bear and Crong the dinosaur.
126,TV Show,Q-Force,September 2 2021,2021,TV-14,1 Season,A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today West Hollywood… tomorrow the world!
127,Movie,Shikara,September 2 2021,2020,PG,115 min,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
128,Movie,A Cinderella Story,September 1 2021,2004,PG-13,95 min,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmothers diner. Can her lost cell phone bring them together?
129,Movie,Agatha Christies Crooked House,September 1 2021,2017,PG-13,115 min,When a detective investigates the death of his ex-lovers grandfather he uncovers secrets about the tycoons manipulative family.
130,Movie,An Unfinished Life,September 1 2021,2005,TV-Y,108 min,A grieving widow and her daughter move in with her estranged father-in-law in Wyoming where time allows them to heal and forgive.
131,Movie,Barbie Big City Big Dreams,September 1 2021,2021,R,63 min,At a summer performing arts program in New York City Barbie from Malibu meets Barbie from Brooklyn and the two become fast friends.
132,Movie,Blade Runner The Final Cut,September 1 2021,1982,TV-MA,117 min,In a smog-choked dystopian Los Angeles blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped replicants.
133,TV Show,Brave Animated Series,September 1 2021,2021,R,1 Season,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
134,Movie,Chappie,September 1 2021,2015,PG-13,121 min,In a futuristic society where an indestructible robot police force keeps crime at bay a lone droid evolves to the next level of artificial intelligence.
135,Movie,Clear and Present Danger,September 1 2021,1994,R,142 min,When the presidents friend is murdered CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.
136,Movie,Cliffhanger,September 1 2021,1993,R,113 min,Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers only to learn the climbers are actually thieving hijackers.
137,Movie,Cold Mountain,September 1 2021,2003,PG,154 min,This drama follows a wounded Civil War soldier making the long journey home while his faraway love fights for survival on her deceased fathers farm.
138,Movie,Crocodile Dundee in Los Angeles,September 1 2021,2001,PG-13,95 min,When Mick Crocodile Dundee and his family land in Los Angeles they soon learn some lessons about American life in this comedy sequel.
139,Movie,Dear John,September 1 2021,2010,R,108 min,While on summer leave a U.S. soldier falls for a college student. But when hes forced to reenlist their handwritten letters hold the lovers together.
140,Movie,Do the Right Thing,September 1 2021,1989,TV-MA,120 min,On a sweltering day in Brooklyn simmering racial tensions between residents rise to the surface and ignite rage violence and tragedy.
141,Movie,El patrón radiografía de un crimen,September 1 2021,2014,R,100 min,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
142,Movie,Extraction,September 1 2021,2015,PG-13,82 min,When a retired CIA agent is kidnapped his son a government analyst embarks on an unauthorized mission to find him and halt a terrorist plot.
143,Movie,Freedom Writers,September 1 2021,2007,PG-13,124 min,While her at-risk students are reading classics such as The Diary of Anne Frank a teacher asks them to keep journals about their troubled lives.
144,Movie,Green Lantern,September 1 2021,2011,R,114 min,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
145,Movie,House Party,September 1 2021,1990,R,104 min,Grounded by his strict father Kid risks life and limb to go to his best friend Plays big bash but experiences one obstacle after another.
146,Movie,House Party 2,September 1 2021,1991,R,94 min,Kid goes off to college with scholarship money but when Play loses Kids tuition funds to a shady music promoter they devise a wild plan to raise cash.
147,Movie,House Party 3,September 1 2021,1994,TV-PG,94 min,After Kid gets engaged Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.
148,TV Show,How to Be a Cowboy,September 1 2021,2021,TV-14,1 Season,Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now hes teaching the world how to cowboy right ol son.
