57,Junko Takeuchi Chie Nakamura Noriaki Sugiyama Unsho Ishizuka Motoko Kumai Kazuhiko Inoue Rikiya Koyama Showtaro Morikubo Nana Mizuki Satoshi Hino Shinji Kawada
58,Junko Takeuchi Chie Nakamura Kazuhiko Inoue Satoshi Hino Showtaro Morikubo Kentaro Ito Ryoka Yuzuki Kohsuke Toriumi Nana Mizuki Shinji Kawada Yoichi Masukawa Koichi Tochika Yukari Tamura
59,Junko Takeuchi Chie Nakamura Yoichi Masukawa Koichi Tochika Ayumi Fujimura Keisuke Oda Daisuke Kishio Fumiko Orikasa Hidetoshi Nakamura Tetsuya Kakihara Kisho Taniyama Miyuki Sawashiro Katsuyuki Konishi Masako Katsuki Keiko Nemoto Masashi Ebara Kazuhiko Inoue Showtaro Morikubo Romi Park Daisuke Ono Seizo Kato
60,Junko Takeuchi Chie Nakamura Satoshi Hino Rikiya Koyama Nobuaki Fukuda Kenji Hamada Keiko Nemoto Saori Hayami Yumi Toma Yuko Kobayashi Fujiko Takimoto Mutsumi Tamura Mayuki Makiguchi Toshiyuki Morikawa
61,Junko Takeuchi Gamon Kaai Chie Nakamura Showtaro Morikubo Akira Ishida Yasuyuki Kase Urara Takano Sachiko Kojima Houko Kuwashima Takako Honda
62,Junko Takeuchi Chie Nakamura Yoichi Masukawa Kazuhiko Inoue Akio Otsuka Kyousuke Ikeda Marika Hayashi Umeji Sasaki Masashi Sugawara Hisao Egawa
63,Junko Takeuchi Noriaki Sugiyama Chie Nakamura Kazuhiko Inoue Yuhko Kaida Tsutomu Isobe Hirotaka Suzuoki Jun Karasawa Harii Kaneko Ikuo Nishikawa
64,Winslow Fegley Lidya Jewett Krysten Ritter
65,Beth Chalmers David Holt Marcel McCalla Teresa Gallagher
66,
67,Mark-Paul Gosselaar Tiffani Thiessen Mario Lopez Lark Voorhies Elizabeth Berkley Dustin Diamond Dennis Haskins
68,Michael Schumacher
69,
70,Itatí Cantoral
71,Evan Spiridellis Erin Fitzgerald Jeff Gill Fred Tatasciore Evan Michael Lee Jared Isaacman Sian Proctor Chris Sembroski Hayley Arceneaux
72,Jack Whitehall Michael Whitehall
73,"Sola Sobowale Adesua Etomi Remilekun ""Reminisce"" Safaru Tobechukwu ""iLLbliss"" Ejiofor Toni Tones Paul Sambo Jide Kosoko Sharon Ooja"
74,
75,Bear Grylls Jason Derek Prempeh
76,Daiki Yamashita Kohsuke Toriumi Jun Fukushima Hiroki Yasumoto Showtaro Morikubo Kentaro Ito Daisuke Kishio Yoshitsugu Matsuoka Junichi Suwabe Ayaka Suwa Megumi Han Tomoaki Maeno Tsubasa Yonaga Tetsuya Kakihara Satoshi Hino Hiroyuki Yoshino Atsushi Abe Koji Yusa Kouki Miyata Hiro Shimono Wataru Hatano Yuichi Nakamura Kenji Nojima Mamoru Miyano Daisuke Ono Yuma Uchida Jun Fukuyama
77,Sumriddhi Shukla Jigna Bharadwaj Sonal Kaushal Neshma Chemburkar Ganesh Divekar Annamaya Verma Anamay Verma Manoj Pandey
78,Vijay Sethupathi Parthiban Raashi Khanna
79,Vijay Sethupathi Parthiban Raashi Khanna
80,Thomas Brodie-Sangster Felicity Jones Freddie Highmore Patrick Stewart Meera Syal Sanjeev Bhaskar Nonso Anozie
81,Mary Elizabeth Winstead Jun Kunimura Woody Harrelson Tadanobu Asano Miyavi Michiel Huisman Miku Martineau
82,Tom Ellis Lauren German Kevin Alejandro D.B. Woodside Lesley-Ann Brandt Scarlett Estevez Rachael Harris Aimee Garcia Tricia Helfer Tom Welling Jeremiah W. Birkett Pej Vahdat Michael Gladis
83,Jo Koy
